2023-08-01 11:44:47,402 INFO    Thread-62 :14984 [wandb_setup.py:_flush():76] Current SDK version is 0.15.7
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_setup.py:_flush():76] Configure stats pid to 14984
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Pc\.config\wandb\settings
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_setup.py:_flush():76] Loading settings from d:\Tensorflow Basics\Car Price Prediction\wandb\settings
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'uncategorized', 'entity': 'ahsanbilal', 'root_dir': 'd:\\Tensorflow Basics\\Car Price Prediction', 'run_id': '6ayj32kt', 'sweep_param_path': 'd:\\Tensorflow Basics\\Car Price Prediction\\wandb\\sweep-dxyreofk\\config-6ayj32kt.yaml', 'sweep_id': 'dxyreofk'}
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_init.py:_log_setup():507] Logging user logs to d:\Tensorflow Basics\Car Price Prediction\wandb\run-20230801_114447-6ayj32kt\logs\debug.log
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_init.py:_log_setup():508] Logging internal logs to d:\Tensorflow Basics\Car Price Prediction\wandb\run-20230801_114447-6ayj32kt\logs\debug-internal.log
2023-08-01 11:44:47,403 INFO    Thread-62 :14984 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001B9A3BC9790>
2023-08-01 11:44:47,404 INFO    Thread-62 :14984 [wandb_init.py:init():547] calling init triggers
2023-08-01 11:44:47,404 INFO    Thread-62 :14984 [wandb_init.py:init():554] wandb.init called with sweep_config: {'DROPOUT_RATE': 0.3905295274418681, 'LEARNING_RATE': 0.007723999300699895, 'N_DENSE_1': 16, 'N_DENSE_2': 32, 'REGULARIZATION_RATE': 0.0001}
config: {}
2023-08-01 11:44:47,404 INFO    Thread-62 :14984 [wandb_init.py:init():596] starting backend
2023-08-01 11:44:47,404 INFO    Thread-62 :14984 [wandb_init.py:init():600] setting up manager
2023-08-01 11:44:47,415 INFO    Thread-62 :14984 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-08-01 11:44:47,423 INFO    Thread-62 :14984 [wandb_init.py:init():606] backend started and connected
2023-08-01 11:44:47,443 INFO    Thread-62 :14984 [wandb_run.py:_config_callback():1282] config_cb None None {'DROPOUT_RATE': 0.3905295274418681, 'LEARNING_RATE': 0.007723999300699895, 'N_DENSE_1': 16, 'N_DENSE_2': 32, 'REGULARIZATION_RATE': 0.0001}
2023-08-01 11:44:47,446 INFO    Thread-62 :14984 [wandb_run.py:_label_probe_notebook():1234] probe notebook
2023-08-01 11:44:47,446 INFO    Thread-62 :14984 [wandb_run.py:_label_probe_notebook():1244] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-08-01 11:44:47,446 INFO    Thread-62 :14984 [wandb_init.py:init():697] updated telemetry
2023-08-01 11:44:47,448 INFO    Thread-62 :14984 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-01 11:44:48,483 INFO    Thread-62 :14984 [wandb_run.py:_on_init():2174] communicating current version
2023-08-01 11:44:49,185 INFO    Thread-62 :14984 [wandb_run.py:_on_init():2183] got version response 
2023-08-01 11:44:49,186 INFO    Thread-62 :14984 [wandb_init.py:init():781] starting run threads in backend
2023-08-01 11:44:56,457 INFO    Thread-62 :14984 [wandb_run.py:_console_start():2153] atexit reg
2023-08-01 11:44:56,458 INFO    Thread-62 :14984 [wandb_run.py:_redirect():2008] redirect: wrap_raw
2023-08-01 11:44:56,458 INFO    Thread-62 :14984 [wandb_run.py:_redirect():2073] Wrapping output streams.
2023-08-01 11:44:56,458 INFO    Thread-62 :14984 [wandb_run.py:_redirect():2098] Redirects installed.
2023-08-01 11:44:56,459 INFO    Thread-62 :14984 [wandb_init.py:init():822] run started, returning control to user process
2023-08-01 11:44:56,861 INFO    Thread-62 :14984 [wandb_run.py:_finish():1888] finishing run ahsanbilal/uncategorized/6ayj32kt
2023-08-01 11:44:56,862 INFO    Thread-62 :14984 [jupyter.py:save_history():445] not saving jupyter history
2023-08-01 11:44:56,862 INFO    Thread-62 :14984 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-08-01 11:44:56,862 INFO    Thread-62 :14984 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-08-01 11:44:56,862 INFO    Thread-62 :14984 [wandb_run.py:_atexit_cleanup():2122] got exitcode: 1
2023-08-01 11:44:56,863 INFO    Thread-62 :14984 [wandb_run.py:_restore():2105] restore
2023-08-01 11:44:56,863 INFO    Thread-62 :14984 [wandb_run.py:_restore():2111] restore done
2023-08-01 11:45:03,365 INFO    Thread-62 :14984 [wandb_run.py:_footer_history_summary_info():3475] rendering history
2023-08-01 11:45:03,365 INFO    Thread-62 :14984 [wandb_run.py:_footer_history_summary_info():3507] rendering summary
2023-08-01 11:45:03,413 INFO    Thread-62 :14984 [wandb_run.py:_footer_sync_info():3434] logging synced files
